seed	experiment	feature_set	domain	class	precision	recall	f1	support
19	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9629629629629629	0.9680851063829787	0.9655172413793104	188.0
19	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9627659574468085	0.9627659574468085	0.9627659574468085	188.0
19	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
20	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9723756906077348	0.9361702127659575	0.9539295392953929	188.0
20	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9384615384615385	0.973404255319149	0.9556135770234987	188.0
20	multiclass_domain	all	arxiv_papers	human	0.9946808510638298	0.9946808510638298	0.9946808510638298	188.0
21	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9782608695652174	0.9574468085106383	0.967741935483871	188.0
21	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9583333333333334	0.9787234042553191	0.968421052631579	188.0
21	multiclass_domain	all	arxiv_papers	human	1.0	1.0	1.0	188.0
22	multiclass_domain	all	arxiv_papers	gemma2_9b	0.978021978021978	0.9468085106382979	0.9621621621621622	188.0
22	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9435897435897436	0.9787234042553191	0.9608355091383812	188.0
22	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
23	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9619565217391305	0.9414893617021277	0.9516129032258065	188.0
23	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9476439790575916	0.9627659574468085	0.9551451187335093	188.0
23	multiclass_domain	all	arxiv_papers	human	0.9894179894179894	0.9946808510638298	0.9920424403183024	188.0
24	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9625668449197861	0.9574468085106383	0.96	188.0
24	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9470899470899471	0.9521276595744681	0.9496021220159151	188.0
24	multiclass_domain	all	arxiv_papers	human	0.9893617021276596	0.9893617021276596	0.9893617021276596	188.0
25	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9735449735449735	0.9787234042553191	0.9761273209549072	188.0
25	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9787234042553191	0.9787234042553191	0.9787234042553191	188.0
25	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
26	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9731182795698925	0.9627659574468085	0.9679144385026738	188.0
26	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9631578947368421	0.973404255319149	0.9682539682539683	188.0
26	multiclass_domain	all	arxiv_papers	human	1.0	1.0	1.0	188.0
27	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9230769230769231	0.9574468085106383	0.9399477806788512	188.0
27	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9560439560439561	0.925531914893617	0.9405405405405406	188.0
27	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
28	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9623655913978495	0.9521276595744681	0.9572192513368984	188.0
28	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9627659574468085	0.9627659574468085	0.9627659574468085	188.0
28	multiclass_domain	all	arxiv_papers	human	0.9842105263157894	0.9946808510638298	0.9894179894179894	188.0
29	multiclass_domain	all	arxiv_papers	gemma2_9b	0.973404255319149	0.973404255319149	0.973404255319149	188.0
29	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.973404255319149	0.973404255319149	0.973404255319149	188.0
29	multiclass_domain	all	arxiv_papers	human	1.0	1.0	1.0	188.0
30	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9565217391304348	0.9361702127659575	0.946236559139785	188.0
30	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9427083333333334	0.9627659574468085	0.9526315789473684	188.0
30	multiclass_domain	all	arxiv_papers	human	0.9946808510638298	0.9946808510638298	0.9946808510638298	188.0
31	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9629629629629629	0.9680851063829787	0.9655172413793104	188.0
31	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9680851063829787	0.9680851063829787	0.9680851063829787	188.0
31	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
32	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9578947368421052	0.9680851063829787	0.9629629629629629	188.0
32	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9625668449197861	0.9574468085106383	0.96	188.0
32	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
33	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9578947368421052	0.9680851063829787	0.9629629629629629	188.0
33	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.967741935483871	0.9574468085106383	0.9625668449197861	188.0
33	multiclass_domain	all	arxiv_papers	human	0.9946808510638298	0.9946808510638298	0.9946808510638298	188.0
34	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9487179487179487	0.9840425531914894	0.9660574412532638	188.0
34	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9835164835164835	0.9521276595744681	0.9675675675675676	188.0
34	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
35	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9836065573770492	0.9574468085106383	0.9703504043126685	188.0
35	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9536082474226805	0.9840425531914894	0.9685863874345549	188.0
35	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
36	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9470899470899471	0.9521276595744681	0.9496021220159151	188.0
36	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9468085106382979	0.9468085106382979	0.9468085106382979	188.0
36	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
37	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9424083769633508	0.9574468085106383	0.9498680738786279	188.0
37	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9567567567567568	0.9414893617021277	0.9490616621983914	188.0
37	multiclass_domain	all	arxiv_papers	human	0.9946808510638298	0.9946808510638298	0.9946808510638298	188.0
38	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9621621621621622	0.9468085106382979	0.9544235924932976	188.0
38	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9378238341968912	0.9627659574468085	0.9501312335958005	188.0
38	multiclass_domain	all	arxiv_papers	human	1.0	0.9893617021276596	0.9946524064171123	188.0
39	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9470899470899471	0.9521276595744681	0.9496021220159151	188.0
39	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9516129032258065	0.9414893617021277	0.946524064171123	188.0
39	multiclass_domain	all	arxiv_papers	human	0.9947089947089947	1.0	0.9973474801061007	188.0
40	multiclass_domain	all	arxiv_papers	gemma2_9b	0.953125	0.973404255319149	0.9631578947368421	188.0
40	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9726775956284153	0.9468085106382979	0.9595687331536388	188.0
40	multiclass_domain	all	arxiv_papers	human	0.9947089947089947	1.0	0.9973474801061007	188.0
41	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9263157894736842	0.9361702127659575	0.9312169312169312	188.0
41	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9354838709677419	0.925531914893617	0.93048128342246	188.0
41	multiclass_domain	all	arxiv_papers	human	1.0	1.0	1.0	188.0
42	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9567567567567568	0.9414893617021277	0.9490616621983914	188.0
42	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9375	0.9574468085106383	0.9473684210526315	188.0
42	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
43	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9783783783783784	0.9627659574468085	0.9705093833780161	188.0
43	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9583333333333334	0.9787234042553191	0.968421052631579	188.0
43	multiclass_domain	all	arxiv_papers	human	1.0	0.9946808510638298	0.9973333333333333	188.0
44	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9538461538461539	0.9893617021276596	0.9712793733681462	188.0
44	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.9944444444444445	0.9521276595744681	0.9728260869565217	188.0
44	multiclass_domain	all	arxiv_papers	human	0.9947089947089947	1.0	0.9973474801061007	188.0
45	multiclass_domain	all	arxiv_papers	gemma2_9b	0.9629629629629629	0.9680851063829787	0.9655172413793104	188.0
45	multiclass_domain	all	arxiv_papers	gpt-4o-mini	0.967741935483871	0.9574468085106383	0.9625668449197861	188.0
45	multiclass_domain	all	arxiv_papers	human	0.9947089947089947	1.0	0.9973474801061007	188.0
