experiment	feature_set	domain	accuracy_mean	accuracy_std	precision_macro_mean	precision_macro_std	recall_macro_mean	recall_macro_std	f1_macro_mean	f1_macro_std	f1_weighted_mean	f1_weighted_std	roc_auc_mean	roc_auc_std
binary_all	all	all	0.9505529835390948	0.0018678063078367	0.9506535373180698	0.0018556714406628	0.9505529835390948	0.0018678063078367	0.9505502100937194	0.0018682633740215	0.9505502100937194	0.0018682633740215	0.9786675887469164	0.0011933655860324
binary_domain	all	arxiv_papers	0.9977925531914892	0.0023623697706595	0.9978075201718808	0.0023402645843644	0.9977925531914894	0.0023623697706595	0.9977925101094164	0.0023624589728622	0.9977925101094164	0.0023624589728622	0.9993820733363512	0.0021945564734812
binary_domain	all	blog_authorship_corpus	0.8538069216757741	0.0071128419641252	0.8540489106620655	0.007152899194187	0.8538069216757741	0.0071128419641252	0.8537821680980408	0.0071108812985837	0.8537821680980408	0.0071108812985837	0.9096116967096992	0.0058463562695599
binary_domain	all	cnn_news	0.9864932652113332	0.0022491044313113	0.9865039378367294	0.0022474587605835	0.9864933744775002	0.0022491430548792	0.986493188310306	0.0022491277468214	0.9864931897932818	0.0022491268748784	0.9984830677256455	0.0005751852078156
binary_domain	all	euro_court_cases	0.9966062801932368	0.0019091635589983	0.9966185575073664	0.0018993977826196	0.9966062801932368	0.0019091635589983	0.9966062497343536	0.0019091993393009	0.9966062497343536	0.0019091993393009	0.999497479521109	0.0008427445054162
binary_domain	all	house_of_commons	0.9852209492635025	0.0034086096520632	0.9852429720261984	0.0034017354290253	0.9852209492635025	0.0034086096520632	0.9852207687101334	0.003408706778379	0.9852207687101334	0.003408706778379	0.9940489551886982	0.0024921033495068
binary_domain	all	student_essays	0.9949586435070306	0.0009307090568859	0.9949608167381384	0.0009303125672929	0.9949586435070306	0.0009307090568859	0.9949586377826484	0.000930711187306	0.9949586377826484	0.000930711187306	0.9995094928373564	0.0002896086674925
multiclass_all	all	all	0.8715695986336465	0.0026797007475705	0.871529601384634	0.0026689202971663	0.8715691048394888	0.0026795175930991	0.871519645469362	0.0026773451020484	0.8715200983828276	0.0026775645492279		
multiclass_domain	all	arxiv_papers	0.9737588652482267	0.006705558032161	0.973931559096724	0.0066773914502449	0.9737588652482267	0.006705558032161	0.9737681842083724	0.0067027014382477	0.9737681842083724	0.0067027014382477		
multiclass_domain	all	blog_authorship_corpus	0.7603234152652005	0.0149434044328805	0.7609610144367744	0.014744216731625	0.7603209865371661	0.0149534600930525	0.760335029840751	0.0149157462917561	0.7603391436063691	0.0149110283105467		
multiclass_domain	all	cnn_news	0.942077720207254	0.0046630932220184	0.9420232061402716	0.0046782877191033	0.9420758108504068	0.0046668533471799	0.9420070146948818	0.0046693616076926	0.9420090858393698	0.0046660475847412		
multiclass_domain	all	euro_court_cases	0.9721406727828746	0.005989718507058	0.9722130252903568	0.0059949427625172	0.9721406727828746	0.005989718507058	0.972119443373934	0.0060008385994063	0.972119443373934	0.0060008385994063		
multiclass_domain	all	house_of_commons	0.9450595238095238	0.0068001921448514	0.9452044501322636	0.0067985286548084	0.9450595238095238	0.0068001921448514	0.9450351168957992	0.0067996669690348	0.9450351168957992	0.0067996669690348		
multiclass_domain	all	student_essays	0.9454858691444058	0.0038438756810456	0.9455735890559318	0.0038321847859445	0.9454858691444058	0.0038438756810456	0.945448342751936	0.003856487067407	0.945448342751936	0.003856487067407		
