experiment	feature_set	domain	accuracy_mean	accuracy_std	precision_macro_mean	precision_macro_std	recall_macro_mean	recall_macro_std	f1_macro_mean	f1_macro_std	f1_weighted_mean	f1_weighted_std	roc_auc_mean	roc_auc_std
binary_all	all	all	0.9505529835390948	0.0018678063078367	0.9506535373180698	0.0018556714406628	0.9505529835390948	0.0018678063078367	0.9505502100937194	0.0018682633740215	0.9505502100937194	0.0018682633740215	0.9786675887469164	0.0011933655860324
binary_all	information_theoretic	all	0.6807827503429356	0.0039229266419915	0.6810738590847484	0.0039188403904299	0.6807827503429356	0.0039229266419915	0.6806542465395211	0.0039308727453938	0.6806542465395211	0.0039308727453938	0.7214205780839265	0.0043855337950246
binary_all	readability	all	0.7767961248285323	0.0036605430819919	0.778093618587925	0.0036280073146868	0.7767961248285323	0.0036605430819919	0.776535159102129	0.0036774168863014	0.776535159102129	0.0036774168863014	0.8619296180102778	0.0033675525593136
binary_all	reading_time	all	0.50352280521262	0.0043061021451027	0.5041396004768707	0.005058139544652	0.50352280521262	0.0043061021451027	0.484338228794323	0.004559314515686	0.484338228794323	0.004559314515686	0.501024897401593	0.0050484997026824
binary_all	structure	all	0.6298954046639232	0.0044332028602832	0.6299417320509102	0.0044395407616727	0.6298954046639232	0.0044332028602832	0.629862536694479	0.0044314282462546	0.629862536694479	0.0044314282462547	0.6729676506893522	0.0049628603452359
binary_all	syntax	all	0.9109705075445816	0.0024427757784689	0.9111259676179811	0.0024458938245927	0.9109705075445816	0.0024427757784689	0.91096209258145	0.0024429722599995	0.91096209258145	0.0024429722599995	0.9563322351399308	0.001683715706229
multiclass_all	all	all	0.8715695986336465	0.0026797007475705	0.871529601384634	0.0026689202971663	0.8715691048394888	0.0026795175930991	0.871519645469362	0.0026773451020484	0.8715200983828276	0.0026775645492279		
multiclass_all	information_theoretic	all	0.5029035012809565	0.004960610702248	0.4928411677418501	0.0052270958047171	0.5029021264818012	0.0049601259712286	0.4945685970691897	0.0049079579298564	0.4945697863102666	0.0049083729752764		
multiclass_all	readability	all	0.5982741246797609	0.0039600035960176	0.5931870527076624	0.0046505715179931	0.5982740041900654	0.003959677027494	0.5800506619136148	0.0041827210984419	0.5800507014601879	0.0041828707146631		
multiclass_all	reading_time	all	0.3305943637916311	0.00353086548879	0.3076177167961805	0.0046924479877215	0.3305963680908199	0.003533301061808	0.2888687249926333	0.0034624085173221	0.2888677778806163	0.0034612355322736		
multiclass_all	structure	all	0.4381836037574722	0.0040934257080531	0.4370570018920689	0.004535583934879	0.4381819015497397	0.0040928256978406	0.4250185781880882	0.0042939075127866	0.4250194321011686	0.0042942026181468		
multiclass_all	syntax	all	0.8066114432109308	0.0032453888380974	0.8059526525787597	0.0032743899697107	0.806610900487785	0.003246126893838	0.8061978675170148	0.0032606605494127	0.8061983229874466	0.003260016738911		
