accuracy	precision_macro	recall_macro	f1_macro	f1_weighted	roc_auc	seed	experiment	feature_set	domain
0.9716312056737588	0.9729001883239171	0.9716312056737588	0.9716667765067708	0.9716667765067707		0	multiclass_domain	all	arxiv_papers
0.9822695035460993	0.9825047845773235	0.9822695035460994	0.9823005576153134	0.9823005576153133		1	multiclass_domain	all	arxiv_papers
0.9804964539007093	0.9805527411910391	0.9804964539007092	0.9805199566065302	0.9805199566065302		2	multiclass_domain	all	arxiv_papers
0.9769503546099291	0.977140643317114	0.9769503546099291	0.9769863443237227	0.9769863443237227		3	multiclass_domain	all	arxiv_papers
0.973404255319149	0.9735535647629713	0.973404255319149	0.9734604422756279	0.973460442275628		4	multiclass_domain	all	arxiv_papers
0.9716312056737588	0.971828078078078	0.9716312056737588	0.9716711976545475	0.9716711976545473		5	multiclass_domain	all	arxiv_papers
0.9804964539007093	0.9805053334465099	0.9804964539007092	0.9804963159445919	0.9804963159445917		6	multiclass_domain	all	arxiv_papers
0.973404255319149	0.9736391670761272	0.973404255319149	0.9733798545093685	0.9733798545093686		7	multiclass_domain	all	arxiv_papers
0.9698581560283688	0.9699641325629963	0.9698581560283688	0.9698704975285143	0.9698704975285142		8	multiclass_domain	all	arxiv_papers
0.9787234042553191	0.9791208791208792	0.9787234042553191	0.9787267580896822	0.9787267580896822		9	multiclass_domain	all	arxiv_papers
0.973404255319149	0.9734793050395888	0.9734042553191489	0.9734371641238845	0.9734371641238845		10	multiclass_domain	all	arxiv_papers
0.9769503546099291	0.9770241110798387	0.9769503546099291	0.9769735449735449	0.9769735449735448		11	multiclass_domain	all	arxiv_papers
0.973404255319149	0.9733742959549412	0.973404255319149	0.9733755088724663	0.9733755088724664		12	multiclass_domain	all	arxiv_papers
0.9716312056737588	0.971665723448406	0.9716312056737588	0.9716304030029521	0.971630403002952		13	multiclass_domain	all	arxiv_papers
0.9716312056737588	0.971574216046473	0.9716312056737589	0.9715980962055797	0.9715980962055797		14	multiclass_domain	all	arxiv_papers
0.9804964539007093	0.9805053334465099	0.9804964539007092	0.9804963159445919	0.9804963159445917		15	multiclass_domain	all	arxiv_papers
0.975177304964539	0.9753979875347301	0.975177304964539	0.9751927299410155	0.9751927299410155		16	multiclass_domain	all	arxiv_papers
0.9698581560283688	0.9700176366843033	0.9698581560283688	0.9699239232707791	0.9699239232707793		17	multiclass_domain	all	arxiv_papers
0.9663120567375887	0.9664883633633634	0.9663120567375887	0.9663421914930309	0.966342191493031		18	multiclass_domain	all	arxiv_papers
0.975177304964539	0.9752429734699238	0.975177304964539	0.9752055107198174	0.9752055107198173		19	multiclass_domain	all	arxiv_papers
0.9680851063829787	0.9685060267110344	0.9680851063829787	0.9680746557942405	0.9680746557942405		20	multiclass_domain	all	arxiv_papers
0.9787234042553191	0.9788647342995169	0.9787234042553191	0.9787209960384833	0.9787209960384834		21	multiclass_domain	all	arxiv_papers
