experiment	feature_set	domain	class	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std
binary_all	all	all	human	0.9571267470722217	0.0023734489763015056	0.943369341563786	0.0030722285283605786	0.9501941339995617	0.001905926341564334
binary_all	all	all	llm	0.944180327563918	0.0028470593222594638	0.9577366255144032	0.0024558889751539166	0.9509062861878772	0.0018359990557307504
binary_all	information_theoretic	all	human	0.6740477882483958	0.004265059638071462	0.7001886145404664	0.006156484139085137	0.6868533952429776	0.004032148033543044
binary_all	information_theoretic	all	llm	0.6880999299211009	0.004390488636428201	0.6613768861454047	0.006669093257976922	0.6744550978360644	0.004469957650078533
binary_all	readability	all	human	0.7592090170679217	0.004183831541051502	0.8107561728395062	0.004639405415777262	0.7841270184959619	0.00346362674757797
binary_all	readability	all	llm	0.7969782201079283	0.004139633791150307	0.7428360768175583	0.005721542606451946	0.7689432997082961	0.004068361617160801
binary_all	reading_time	all	human	0.5057371299964837	0.007008508692835735	0.3107030178326475	0.006266142386087262	0.38490439785125546	0.006351507587277175
binary_all	reading_time	all	llm	0.5025420709572577	0.0031085009428507954	0.6963425925925927	0.0063852634390727525	0.5837720597373904	0.003984637289796128
binary_all	structure	all	human	0.627788908954478	0.004438977275282823	0.638170438957476	0.006496086888477266	0.6329245991557312	0.004760265732067001
binary_all	structure	all	llm	0.6320945551473425	0.004750908313699241	0.6216203703703704	0.006189813560185145	0.6268004742332269	0.004715443614894684
binary_all	syntax	all	human	0.9188319619477209	0.0033982314545627085	0.9015997942386831	0.003500381191136719	0.9101279761466797	0.002468397260844302
binary_all	syntax	all	llm	0.9034199732882416	0.0030972733382369617	0.9203412208504801	0.0036382993842899664	0.9117962090162203	0.002439734413486588
binary_domain	all	arxiv_papers	human	0.9971511353568343	0.004251768555568292	0.9984574468085107	0.0026509639251513064	0.9977968250972735	0.00235281687126322
binary_domain	all	arxiv_papers	llm	0.9984639049869272	0.002637160953325845	0.997127659574468	0.00430473138343633	0.9977881951215594	0.0023721832909626706
binary_domain	all	blog_authorship_corpus	human	0.8618427156390085	0.009523168010742922	0.8428233151183971	0.009353612914296927	0.8521825824834383	0.0071326936766354125
binary_domain	all	blog_authorship_corpus	llm	0.8462551056851224	0.007914473905463031	0.8647905282331512	0.01067958637480899	0.8553817537126431	0.007236683723749712
binary_domain	all	cnn_news	human	0.986315176896677	0.0034557244222265505	0.9866878427961465	0.002984597062669845	0.9864960619858592	0.002244218429983802
binary_domain	all	cnn_news	llm	0.9866926987767816	0.0029468352296760647	0.9862989061588537	0.0035111163557248162	0.986490314634753	0.0022545113554797245
