experiment	feature_set	domain	accuracy_mean	accuracy_std	precision_macro_mean	precision_macro_std	recall_macro_mean	recall_macro_std	f1_macro_mean	f1_macro_std	f1_weighted_mean	f1_weighted_std	roc_auc_mean	roc_auc_std
binary_all	all	all	0.9505529835390947	0.0018678063078367948	0.9506535373180698	0.0018556714406628057	0.9505529835390947	0.0018678063078367943	0.9505502100937194	0.00186826337402153	0.9505502100937194	0.001868263374021533	0.9786675887469164	0.0011933655860324683
binary_all	information_theoretic	all	0.6807827503429356	0.003922926641991539	0.6810738590847484	0.0039188403904299365	0.6807827503429356	0.003922926641991541	0.6806542465395211	0.003930872745393857	0.6806542465395211	0.003930872745393867	0.7214205780839265	0.004385533795024693
binary_all	readability	all	0.7767961248285323	0.0036605430819919836	0.778093618587925	0.0036280073146868477	0.7767961248285323	0.003660543081991978	0.776535159102129	0.003677416886301486	0.776535159102129	0.003677416886301484	0.8619296180102778	0.0033675525593136854
binary_all	reading_time	all	0.50352280521262	0.004306102145102725	0.5041396004768707	0.005058139544652044	0.50352280521262	0.004306102145102721	0.484338228794323	0.004559314515686016	0.484338228794323	0.004559314515686018	0.501024897401593	0.00504849970268246
binary_all	structure	all	0.6298954046639232	0.004433202860283233	0.6299417320509102	0.004439540761672705	0.6298954046639232	0.004433202860283229	0.629862536694479	0.004431428246254691	0.629862536694479	0.004431428246254703	0.6729676506893522	0.004962860345235965
binary_all	syntax	all	0.9109705075445816	0.002442775778468915	0.9111259676179813	0.0024458938245927072	0.9109705075445816	0.002442775778468916	0.91096209258145	0.002442972259999527	0.91096209258145	0.002442972259999521	0.9563322351399308	0.0016837157062290465
binary_domain	all	arxiv_papers	0.9977925531914893	0.0023623697706595514	0.9978075201718808	0.0023402645843644382	0.9977925531914894	0.002362369770659544	0.9977925101094165	0.0023624589728622695	0.9977925101094164	0.002362458972862273	0.9993820733363513	0.002194556473481223
binary_domain	all	blog_authorship_corpus	0.8538069216757741	0.007112841964125242	0.8540489106620655	0.0071528991941870596	0.8538069216757741	0.007112841964125241	0.8537821680980408	0.007110881298583729	0.8537821680980408	0.00711088129858374	0.9096116967096991	0.0058463562695599625
binary_domain	all	cnn_news	0.9864932652113331	0.0022491044313113413	0.9865039378367294	0.0022474587605835253	0.9864933744775002	0.0022491430548792603	0.9864931883103061	0.00224912774682149	0.9864931897932818	0.0022491268748784754	0.9984830677256457	0.000575185207815634
binary_domain	all	euro_court_cases	0.9966062801932367	0.001909163558998307	0.9966185575073664	0.0018993977826196491	0.9966062801932367	0.001909163558998307	0.9966062497343537	0.0019091993393009832	0.9966062497343537	0.0019091993393009741	0.999497479521109	0.0008427445054162992
